时间, 传感器, 数值, 单位
2026-03-02 20:04:19, 湿度, 50, rh%
2026-03-02 20:04:19, 二氧化碳, 350, ppm
2026-03-02 20:04:19, 火焰强度, 10325, level
2026-03-02 20:04:19, 亮度, 169, lux
2026-03-02 20:04:29, 温度, 16, ℃
2026-03-02 20:04:29, 湿度, 50, rh%
2026-03-02 20:04:29, 二氧化碳, 350, ppm
2026-03-02 20:04:29, 火焰强度, 10325, level
2026-03-02 20:04:29, 亮度, 169, lux
2026-03-02 20:04:39, 温度, 16, ℃
2026-03-02 20:04:39, 湿度, 50, rh%
2026-03-02 20:04:39, 二氧化碳, 350, ppm
2026-03-02 20:04:39, 火焰强度, 10325, level
2026-03-02 20:04:39, 亮度, 169, lux
2026-03-02 20:04:49, 温度, 16, ℃
2026-03-02 20:04:49, 湿度, 50, rh%
2026-03-02 20:04:49, 二氧化碳, 350, ppm
2026-03-02 20:04:49, 火焰强度, 10325, level
2026-03-02 20:04:49, 亮度, 169, lux
2026-03-02 20:04:59, 温度, 16, ℃
2026-03-02 20:04:59, 湿度, 50, rh%
2026-03-02 20:04:59, 二氧化碳, 350, ppm
2026-03-02 20:04:59, 火焰强度, 10325, level
2026-03-02 20:04:59, 亮度, 169, lux
2026-03-02 20:05:09, 温度, 16, ℃
2026-03-02 20:05:09, 湿度, 50, rh%
2026-03-02 20:05:09, 二氧化碳, 350, ppm
2026-03-02 20:05:09, 火焰强度, 10325, level
2026-03-02 20:05:09, 亮度, 169, lux
2026-03-02 20:05:19, 温度, 16, ℃
2026-03-02 20:05:19, 湿度, 50, rh%
2026-03-02 20:05:19, 二氧化碳, 350, ppm
2026-03-02 20:05:19, 火焰强度, 10325, level
2026-03-02 20:05:19, 亮度, 169, lux
2026-03-02 20:05:29, 温度, 16, ℃
2026-03-02 20:05:29, 湿度, 50, rh%
2026-03-02 20:05:29, 二氧化碳, 350, ppm
2026-03-02 20:05:29, 火焰强度, 10325, level
2026-03-02 20:05:29, 亮度, 169, lux
2026-03-02 20:05:39, 温度, 16, ℃
2026-03-02 20:05:39, 湿度, 50, rh%
2026-03-02 20:05:39, 二氧化碳, 350, ppm
2026-03-02 20:05:39, 火焰强度, 10325, level
2026-03-02 20:05:39, 亮度, 169, lux
2026-03-02 20:05:49, 温度, 16, ℃
2026-03-02 20:05:49, 湿度, 50, rh%
2026-03-02 20:05:49, 二氧化碳, 350, ppm
2026-03-02 20:05:49, 火焰强度, 10325, level
2026-03-02 20:05:49, 亮度, 169, lux
2026-03-02 20:05:59, 温度, 16, ℃
2026-03-02 20:05:59, 湿度, 50, rh%
2026-03-02 20:05:59, 二氧化碳, 377, ppm
2026-03-02 20:05:59, 火焰强度, 1, level
2026-03-02 20:05:59, 亮度, 169, lux
2026-03-02 20:06:10, 温度, 16, ℃
2026-03-02 20:06:10, 湿度, 50, rh%
2026-03-02 20:06:10, 二氧化碳, 377, ppm
2026-03-02 20:06:10, 火焰强度, 1, level
2026-03-02 20:06:10, 亮度, 169, lux
2026-03-02 20:06:20, 温度, 16, ℃
2026-03-02 20:06:20, 湿度, 50, rh%
2026-03-02 20:06:20, 二氧化碳, 377, ppm
2026-03-02 20:06:20, 火焰强度, 1, level
2026-03-02 20:06:20, 亮度, 169, lux
2026-03-02 20:06:30, 温度, 16, ℃
2026-03-02 20:06:30, 湿度, 50, rh%
2026-03-02 20:06:30, 二氧化碳, 377, ppm
2026-03-02 20:06:30, 火焰强度, 1, level
2026-03-02 20:06:30, 亮度, 169, lux
2026-03-02 20:06:40, 温度, 16, ℃
2026-03-02 20:06:40, 湿度, 50, rh%
2026-03-02 20:06:40, 二氧化碳, 377, ppm
2026-03-02 20:06:40, 火焰强度, 1, level
2026-03-02 20:06:40, 亮度, 169, lux
2026-03-02 20:06:50, 温度, 16, ℃
2026-03-02 20:06:50, 湿度, 50, rh%
2026-03-02 20:06:50, 二氧化碳, 377, ppm
2026-03-02 20:06:50, 火焰强度, 1, level
2026-03-02 20:06:50, 亮度, 169, lux
2026-03-02 20:07:00, 温度, 16, ℃
2026-03-02 20:07:00, 湿度, 50, rh%
2026-03-02 20:07:00, 二氧化碳, 377, ppm
2026-03-02 20:07:00, 火焰强度, 34, level
2026-03-02 20:07:00, 亮度, 169, lux
2026-03-02 20:07:10, 温度, 16, ℃
2026-03-02 20:07:10, 湿度, 50, rh%
2026-03-02 20:07:10, 二氧化碳, 377, ppm
2026-03-02 20:07:10, 火焰强度, 34, level
2026-03-02 20:07:10, 亮度, 169, lux
2026-03-02 20:07:20, 温度, 16, ℃
2026-03-02 20:07:20, 湿度, 50, rh%
2026-03-02 20:07:20, 二氧化碳, 377, ppm
2026-03-02 20:07:20, 火焰强度, 34, level
2026-03-02 20:07:20, 亮度, 169, lux
2026-03-02 20:07:30, 温度, 16, ℃
2026-03-02 20:07:30, 湿度, 50, rh%
2026-03-02 20:07:30, 二氧化碳, 377, ppm
2026-03-02 20:07:30, 火焰强度, 34, level
2026-03-02 20:07:30, 亮度, 169, lux
2026-03-02 20:07:40, 温度, 16, ℃
2026-03-02 20:07:40, 湿度, 50, rh%
2026-03-02 20:07:40, 二氧化碳, 377, ppm
2026-03-02 20:07:40, 火焰强度, 34, level
2026-03-02 20:07:40, 亮度, 169, lux
2026-03-02 20:07:50, 温度, 16, ℃
2026-03-02 20:07:50, 湿度, 50, rh%
2026-03-02 20:07:50, 二氧化碳, 377, ppm
2026-03-02 20:07:50, 火焰强度, 34, level
2026-03-02 20:07:50, 亮度, 169, lux
2026-03-02 20:08:00, 温度, 16, ℃
2026-03-02 20:08:00, 湿度, 50, rh%
2026-03-02 20:08:00, 二氧化碳, 377, ppm
2026-03-02 20:08:00, 火焰强度, 40, level
2026-03-02 20:08:00, 亮度, 169, lux
2026-03-02 20:08:10, 温度, 16, ℃
2026-03-02 20:08:10, 湿度, 50, rh%
2026-03-02 20:08:10, 二氧化碳, 377, ppm
2026-03-02 20:08:10, 火焰强度, 40, level
2026-03-02 20:08:10, 亮度, 169, lux
2026-03-02 20:08:20, 温度, 16, ℃
2026-03-02 20:08:20, 湿度, 50, rh%
2026-03-02 20:08:20, 二氧化碳, 377, ppm
2026-03-02 20:08:20, 火焰强度, 40, level
2026-03-02 20:08:20, 亮度, 169, lux
2026-03-02 20:08:30, 温度, 16, ℃
2026-03-02 20:08:30, 湿度, 50, rh%
2026-03-02 20:08:30, 二氧化碳, 377, ppm
2026-03-02 20:08:30, 火焰强度, 40, level
2026-03-02 20:08:30, 亮度, 169, lux
2026-03-02 20:08:40, 温度, 16, ℃
2026-03-02 20:08:40, 湿度, 50, rh%
2026-03-02 20:08:40, 二氧化碳, 377, ppm
2026-03-02 20:08:40, 火焰强度, 40, level
2026-03-02 20:08:40, 亮度, 169, lux
2026-03-02 20:08:50, 温度, 16, ℃
2026-03-02 20:08:50, 湿度, 50, rh%
2026-03-02 20:08:50, 二氧化碳, 377, ppm
2026-03-02 20:08:50, 火焰强度, 40, level
2026-03-02 20:08:50, 亮度, 169, lux
2026-03-02 20:09:00, 温度, 16, ℃
2026-03-02 20:09:00, 湿度, 50, rh%
2026-03-02 20:09:00, 二氧化碳, 377, ppm
2026-03-02 20:09:00, 火焰强度, 40, level
2026-03-02 20:09:00, 亮度, 169, lux
2026-03-02 20:09:10, 温度, 16, ℃
2026-03-02 20:09:10, 湿度, 50, rh%
2026-03-02 20:09:10, 二氧化碳, 377, ppm
2026-03-02 20:09:10, 火焰强度, 9557, level
2026-03-02 20:09:10, 亮度, 169, lux
2026-03-02 20:09:20, 温度, 16, ℃
2026-03-02 20:09:20, 湿度, 50, rh%
2026-03-02 20:09:20, 二氧化碳, 377, ppm
2026-03-02 20:09:20, 火焰强度, 9557, level
2026-03-02 20:09:20, 亮度, 169, lux
2026-03-02 20:09:30, 温度, 16, ℃
2026-03-02 20:09:30, 湿度, 50, rh%
2026-03-02 20:09:30, 二氧化碳, 377, ppm
2026-03-02 20:09:30, 火焰强度, 9557, level
2026-03-02 20:09:30, 亮度, 169, lux
2026-03-02 20:09:40, 温度, 16, ℃
2026-03-02 20:09:40, 湿度, 50, rh%
2026-03-02 20:09:40, 二氧化碳, 377, ppm
2026-03-02 20:09:40, 火焰强度, 9557, level
2026-03-02 20:09:40, 亮度, 169, lux
2026-03-02 20:09:50, 温度, 16, ℃
2026-03-02 20:09:50, 湿度, 50, rh%
2026-03-02 20:09:50, 二氧化碳, 377, ppm
2026-03-02 20:09:50, 火焰强度, 9557, level
2026-03-02 20:09:50, 亮度, 169, lux
2026-03-02 20:10:00, 温度, 16, ℃
2026-03-02 20:10:00, 湿度, 50, rh%
2026-03-02 20:10:00, 二氧化碳, 377, ppm
2026-03-02 20:10:00, 火焰强度, 9557, level
2026-03-02 20:10:00, 亮度, 169, lux
2026-03-02 20:10:10, 温度, 16, ℃
2026-03-02 20:10:10, 湿度, 50, rh%
2026-03-02 20:10:10, 二氧化碳, 377, ppm
2026-03-02 20:10:10, 火焰强度, 9557, level
2026-03-02 20:10:10, 亮度, 169, lux
2026-03-02 20:10:20, 温度, 16, ℃
2026-03-02 20:10:20, 湿度, 50, rh%
2026-03-02 20:10:20, 二氧化碳, 377, ppm
2026-03-02 20:10:20, 火焰强度, 9557, level
2026-03-02 20:10:20, 亮度, 169, lux
2026-03-02 20:10:30, 温度, 16, ℃
2026-03-02 20:10:30, 湿度, 50, rh%
2026-03-02 20:10:30, 二氧化碳, 377, ppm
2026-03-02 20:10:30, 火焰强度, 9557, level
2026-03-02 20:10:30, 亮度, 169, lux
2026-03-02 20:10:40, 温度, 16, ℃
2026-03-02 20:10:40, 湿度, 50, rh%
2026-03-02 20:10:40, 二氧化碳, 377, ppm
2026-03-02 20:10:40, 火焰强度, 9557, level
2026-03-02 20:10:40, 亮度, 169, lux
2026-03-02 20:10:50, 温度, 16, ℃
2026-03-02 20:10:50, 湿度, 50, rh%
2026-03-02 20:10:50, 二氧化碳, 377, ppm
2026-03-02 20:10:50, 火焰强度, 9557, level
2026-03-02 20:10:50, 亮度, 169, lux
2026-03-02 20:11:00, 温度, 16, ℃
2026-03-02 20:11:00, 湿度, 50, rh%
2026-03-02 20:11:00, 二氧化碳, 377, ppm
2026-03-02 20:11:00, 火焰强度, 9557, level
2026-03-02 20:11:00, 亮度, 169, lux
2026-03-02 20:11:10, 温度, 16, ℃
2026-03-02 20:11:10, 湿度, 50, rh%
2026-03-02 20:11:10, 二氧化碳, 377, ppm
2026-03-02 20:11:10, 火焰强度, 9557, level
2026-03-02 20:11:10, 亮度, 169, lux
2026-03-02 20:11:20, 温度, 16, ℃
2026-03-02 20:11:20, 湿度, 50, rh%
2026-03-02 20:11:20, 二氧化碳, 377, ppm
2026-03-02 20:11:20, 火焰强度, 9557, level
2026-03-02 20:11:20, 亮度, 169, lux
2026-03-02 20:11:30, 温度, 16, ℃
2026-03-02 20:11:30, 湿度, 50, rh%
2026-03-02 20:11:30, 二氧化碳, 377, ppm
2026-03-02 20:11:30, 火焰强度, 9557, level
2026-03-02 20:11:30, 亮度, 169, lux
2026-03-02 20:11:40, 温度, 16, ℃
2026-03-02 20:11:40, 湿度, 50, rh%
2026-03-02 20:11:40, 二氧化碳, 377, ppm
2026-03-02 20:11:40, 火焰强度, 9557, level
2026-03-02 20:11:40, 亮度, 169, lux
2026-03-02 20:11:50, 温度, 16, ℃
2026-03-02 20:11:50, 湿度, 50, rh%
2026-03-02 20:11:50, 二氧化碳, 377, ppm
2026-03-02 20:11:50, 火焰强度, 21930, level
2026-03-02 20:11:50, 亮度, 169, lux
2026-03-02 20:12:00, 温度, 16, ℃
2026-03-02 20:12:00, 湿度, 50, rh%
2026-03-02 20:12:00, 二氧化碳, 377, ppm
2026-03-02 20:12:00, 火焰强度, 4027, level
2026-03-02 20:12:00, 亮度, 169, lux
2026-03-02 20:12:10, 温度, 16, ℃
2026-03-02 20:12:10, 湿度, 50, rh%
2026-03-02 20:12:10, 二氧化碳, 24166, ppm
2026-03-02 20:12:10, 火焰强度, 350, level
2026-03-02 20:12:10, 亮度, 169, lux
2026-03-02 20:12:20, 温度, 16, ℃
2026-03-02 20:12:20, 湿度, 50, rh%
2026-03-02 20:12:20, 二氧化碳, 350, ppm
2026-03-02 20:12:20, 火焰强度, 350, level
2026-03-02 20:12:20, 亮度, 167, lux
2026-03-02 20:12:30, 温度, 16, ℃
2026-03-02 20:12:30, 湿度, 50, rh%
2026-03-02 20:12:30, 二氧化碳, 350, ppm
2026-03-02 20:12:30, 火焰强度, 4027, level
2026-03-02 20:12:30, 亮度, 167, lux
2026-03-02 20:12:40, 温度, 16, ℃
2026-03-02 20:12:40, 湿度, 50, rh%
2026-03-02 20:12:40, 二氧化碳, 350, ppm
2026-03-02 20:12:40, 火焰强度, 4027, level
2026-03-02 20:12:40, 亮度, 167, lux
2026-03-02 20:12:50, 温度, 16, ℃
2026-03-02 20:12:50, 湿度, 50, rh%
2026-03-02 20:12:50, 二氧化碳, 350, ppm
2026-03-02 20:12:50, 火焰强度, 4027, level
2026-03-02 20:12:50, 亮度, 167, lux
2026-03-02 20:13:00, 温度, 16, ℃
2026-03-02 20:13:00, 湿度, 50, rh%
2026-03-02 20:13:00, 二氧化碳, 350, ppm
2026-03-02 20:13:00, 火焰强度, 4027, level
2026-03-02 20:13:00, 亮度, 167, lux
2026-03-02 20:13:10, 温度, 16, ℃
2026-03-02 20:13:10, 湿度, 50, rh%
2026-03-02 20:13:10, 二氧化碳, 350, ppm
2026-03-02 20:13:10, 火焰强度, 4027, level
2026-03-02 20:13:10, 亮度, 167, lux
2026-03-02 20:13:20, 温度, 16, ℃
2026-03-02 20:13:20, 湿度, 50, rh%
2026-03-02 20:13:20, 二氧化碳, 350, ppm
2026-03-02 20:13:20, 火焰强度, 4027, level
2026-03-02 20:13:20, 亮度, 167, lux
2026-03-02 20:13:30, 温度, 16, ℃
2026-03-02 20:13:30, 湿度, 50, rh%
2026-03-02 20:13:30, 二氧化碳, 350, ppm
2026-03-02 20:13:30, 火焰强度, 4027, level
2026-03-02 20:13:30, 亮度, 167, lux
2026-03-02 20:13:40, 温度, 16, ℃
2026-03-02 20:13:40, 湿度, 50, rh%
2026-03-02 20:13:40, 二氧化碳, 350, ppm
2026-03-02 20:13:40, 火焰强度, 4027, level
2026-03-02 20:13:40, 亮度, 167, lux
2026-03-02 20:13:50, 温度, 16, ℃
2026-03-02 20:13:50, 湿度, 50, rh%
2026-03-02 20:13:50, 二氧化碳, 350, ppm
2026-03-02 20:13:50, 火焰强度, 4027, level
2026-03-02 20:13:50, 亮度, 167, lux
2026-03-02 20:14:00, 温度, 16, ℃
2026-03-02 20:14:00, 湿度, 50, rh%
2026-03-02 20:14:00, 二氧化碳, 350, ppm
2026-03-02 20:14:00, 火焰强度, 4027, level
2026-03-02 20:14:00, 亮度, 167, lux
2026-03-02 20:14:10, 温度, 16, ℃
2026-03-02 20:14:10, 湿度, 50, rh%
2026-03-02 20:14:10, 二氧化碳, 350, ppm
2026-03-02 20:14:10, 火焰强度, 4027, level
2026-03-02 20:14:10, 亮度, 167, lux
2026-03-02 20:14:20, 温度, 16, ℃
2026-03-02 20:14:20, 湿度, 0, rh%
2026-03-02 20:14:20, 二氧化碳, 434, ppm
2026-03-02 20:14:20, 火焰强度, 1, level
2026-03-02 20:14:20, 亮度, 173, lux
2026-03-02 20:14:30, 温度, 16, ℃
2026-03-02 20:14:30, 湿度, 0, rh%
2026-03-02 20:14:30, 二氧化碳, 434, ppm
2026-03-02 20:14:30, 火焰强度, 1, level
2026-03-02 20:14:30, 亮度, 173, lux
2026-03-02 20:14:40, 温度, 0, ℃
2026-03-02 20:14:40, 湿度, 0, rh%
2026-03-02 20:14:40, 二氧化碳, 372, ppm
2026-03-02 20:14:40, 火焰强度, 44210, level
2026-03-02 20:14:40, 亮度, 172, lux
2026-03-02 20:14:50, 温度, 0, ℃
2026-03-02 20:14:50, 湿度, 0, rh%
2026-03-02 20:14:50, 二氧化碳, 372, ppm
2026-03-02 20:14:50, 火焰强度, 44210, level
2026-03-02 20:14:50, 亮度, 172, lux
2026-03-02 20:15:00, 温度, 0, ℃
2026-03-02 20:15:00, 湿度, 0, rh%
2026-03-02 20:15:00, 二氧化碳, 367, ppm
2026-03-02 20:15:00, 火焰强度, 1, level
2026-03-02 20:15:00, 亮度, 177, lux
2026-03-02 20:15:10, 温度, 0, ℃
2026-03-02 20:15:10, 湿度, 0, rh%
2026-03-02 20:15:10, 二氧化碳, 367, ppm
2026-03-02 20:15:10, 火焰强度, 362, level
2026-03-02 20:15:10, 亮度, 177, lux
2026-03-02 20:15:20, 温度, 0, ℃
2026-03-02 20:15:20, 湿度, 0, rh%
2026-03-02 20:15:20, 二氧化碳, 367, ppm
2026-03-02 20:15:20, 火焰强度, 1, level
2026-03-02 20:15:20, 亮度, 177, lux
2026-03-02 20:15:30, 温度, 0, ℃
2026-03-02 20:15:30, 湿度, 0, rh%
2026-03-02 20:15:30, 二氧化碳, 367, ppm
2026-03-02 20:15:30, 火焰强度, 387, level
2026-03-02 20:15:30, 亮度, 177, lux
2026-03-02 20:15:40, 温度, 0, ℃
2026-03-02 20:15:40, 湿度, 0, rh%
2026-03-02 20:15:40, 二氧化碳, 367, ppm
2026-03-02 20:15:40, 火焰强度, 1, level
2026-03-02 20:15:40, 亮度, 177, lux
2026-03-02 20:15:51, 温度, 0, ℃
2026-03-02 20:15:51, 湿度, 0, rh%
2026-03-02 20:15:51, 二氧化碳, 367, ppm
2026-03-02 20:15:51, 火焰强度, 597, level
2026-03-02 20:15:51, 亮度, 177, lux
2026-03-02 20:16:01, 温度, 17, ℃
2026-03-02 20:16:01, 湿度, 0, rh%
2026-03-02 20:16:01, 二氧化碳, 401, ppm
2026-03-02 20:16:01, 火焰强度, 258, level
2026-03-02 20:16:01, 亮度, 173, lux
2026-03-02 20:16:11, 温度, 0, ℃
2026-03-02 20:16:11, 湿度, 0, rh%
2026-03-02 20:16:11, 二氧化碳, 401, ppm
2026-03-02 20:16:11, 火焰强度, 383, level
2026-03-02 20:16:11, 亮度, 173, lux
2026-03-02 20:16:21, 温度, 0, ℃
2026-03-02 20:16:21, 湿度, 0, rh%
2026-03-02 20:16:21, 二氧化碳, 401, ppm
2026-03-02 20:16:21, 火焰强度, 351, level
2026-03-02 20:16:21, 亮度, 173, lux
2026-03-02 20:16:31, 温度, 0, ℃
2026-03-02 20:16:31, 湿度, 0, rh%
2026-03-02 20:16:31, 二氧化碳, 362, ppm
2026-03-02 20:16:31, 火焰强度, 1, level
2026-03-02 20:16:31, 亮度, 172, lux
2026-03-02 20:16:41, 温度, 0, ℃
2026-03-02 20:16:41, 湿度, 0, rh%
2026-03-02 20:16:41, 二氧化碳, 362, ppm
2026-03-02 20:16:41, 火焰强度, 85, level
2026-03-02 20:16:41, 亮度, 172, lux
2026-03-02 20:16:51, 温度, 0, ℃
2026-03-02 20:16:51, 湿度, 0, rh%
2026-03-02 20:16:51, 二氧化碳, 362, ppm
2026-03-02 20:16:51, 火焰强度, 4027, level
2026-03-02 20:16:51, 亮度, 172, lux
2026-03-02 20:17:01, 温度, 0, ℃
2026-03-02 20:17:01, 湿度, 0, rh%
2026-03-02 20:17:01, 二氧化碳, 362, ppm
2026-03-02 20:17:01, 火焰强度, 4027, level
2026-03-02 20:17:01, 亮度, 172, lux
2026-03-02 20:17:11, 温度, 0, ℃
2026-03-02 20:17:11, 湿度, 0, rh%
2026-03-02 20:17:11, 二氧化碳, 362, ppm
2026-03-02 20:17:11, 火焰强度, 4027, level
2026-03-02 20:17:11, 亮度, 172, lux
2026-03-02 20:17:21, 温度, 0, ℃
2026-03-02 20:17:21, 湿度, 0, rh%
2026-03-02 20:17:21, 二氧化碳, 362, ppm
2026-03-02 20:17:21, 火焰强度, 4027, level
2026-03-02 20:17:21, 亮度, 172, lux
2026-03-02 20:17:31, 温度, 0, ℃
2026-03-02 20:17:31, 湿度, 0, rh%
2026-03-02 20:17:31, 二氧化碳, 362, ppm
2026-03-02 20:17:31, 火焰强度, 4027, level
2026-03-02 20:17:31, 亮度, 172, lux
2026-03-02 20:17:41, 温度, 0, ℃
2026-03-02 20:17:41, 湿度, 0, rh%
2026-03-02 20:17:41, 二氧化碳, 387, ppm
2026-03-02 20:17:41, 火焰强度, 1, level
2026-03-02 20:17:41, 亮度, 45397, lux
2026-03-02 20:17:51, 温度, 0, ℃
2026-03-02 20:17:51, 湿度, 49, rh%
2026-03-02 20:17:51, 二氧化碳, 387, ppm
2026-03-02 20:17:51, 火焰强度, 1, level
2026-03-02 20:17:51, 亮度, 45397, lux
2026-03-02 20:18:01, 温度, 0, ℃
2026-03-02 20:18:01, 湿度, 49, rh%
2026-03-02 20:18:01, 二氧化碳, 387, ppm
2026-03-02 20:18:01, 火焰强度, 1, level
2026-03-02 20:18:01, 亮度, 45397, lux
2026-03-02 20:18:11, 温度, 0, ℃
